PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
PRT,1,1908,.,1,1,15158,O,.,.,.,1,1
PRT,1,1908,.,2,1,15689,O,.,.,.,1,1
PRT,1,1908,.,3,1,15846,O,.,.,.,1,1
PRT,1,1908,.,4,1,16466,O,.,.,.,1,1
PRT,1,1908,.,5,1,15543,O,.,.,.,1,1
PRT,1,1908,.,6,1,13015,O,.,.,.,1,1
PRT,1,1908,.,7,1,12356,O,.,.,.,1,1
PRT,1,1908,.,8,1,14666,O,.,.,.,1,1
PRT,1,1908,.,9,1,13506,O,.,.,.,1,1
PRT,1,1908,.,10,1,14181,O,.,.,.,1,1
PRT,1,1908,.,11,1,14569,O,.,.,.,1,1
PRT,1,1908,.,12,1,14273,O,.,.,.,1,1
PRT,1,1908,.,TOT,1,175268,O,.,.,.,1,1
PRT,1,1909,.,1,1,15584,O,.,.,.,1,1
PRT,1,1909,.,2,1,16822,O,.,.,.,1,1
PRT,1,1909,.,3,1,12558,O,.,.,.,1,1
PRT,1,1909,.,4,1,15400,O,.,.,.,1,1
PRT,1,1909,.,5,1,15338,O,.,.,.,1,1
PRT,1,1909,.,6,1,12798,O,.,.,.,1,1
PRT,1,1909,.,7,1,12308,O,.,.,.,1,1
PRT,1,1909,.,8,1,15496,O,.,.,.,1,1
PRT,1,1909,.,9,1,14597,O,.,.,.,1,1
PRT,1,1909,.,10,1,15011,O,.,.,.,1,1
PRT,1,1909,.,11,1,14385,O,.,.,.,1,1
PRT,1,1909,.,12,1,14456,O,.,.,.,1,1
PRT,1,1909,.,TOT,1,174753,O,.,.,.,1,1
PRT,1,1910,.,1,1,17335,O,.,.,.,1,1
PRT,1,1910,.,2,1,14971,O,.,.,.,1,1
PRT,1,1910,.,3,1,14968,O,.,.,.,1,1
PRT,1,1910,.,4,1,15673,O,.,.,.,1,1
PRT,1,1910,.,5,1,17154,O,.,.,.,1,1
PRT,1,1910,.,6,1,12910,O,.,.,.,1,1
PRT,1,1910,.,7,1,13306,O,.,.,.,1,1
PRT,1,1910,.,8,1,13947,O,.,.,.,1,1
PRT,1,1910,.,9,1,14440,O,.,.,.,1,1
PRT,1,1910,.,10,1,16523,O,.,.,.,1,1
PRT,1,1910,.,11,1,15645,O,.,.,.,1,1
PRT,1,1910,.,12,1,20081,O,.,.,.,1,1
PRT,1,1910,.,TOT,1,186953,O,.,.,.,1,1
PRT,1,1911,.,TOT,1,230033,O,.,.,.,1,0
PRT,1,1912,.,TOT,1,207870,O,.,.,.,1,0
PRT,1,1913,.,TOT,1,193906,O,.,.,.,1,0
PRT,1,1914,.,TOT,1,188479,O,.,.,.,1,0
PRT,1,1915,.,TOT,1,195225,O,.,.,.,1,0
PRT,1,1916,.,TOT,1,192780,O,.,.,.,1,0
PRT,1,1917,.,TOT,1,188391,O,.,.,.,1,0
PRT,1,1918,.,1,1,15695,O,.,.,.,1,1
PRT,1,1918,.,2,1,15963,O,.,.,.,1,1
PRT,1,1918,.,3,1,17790,O,.,.,.,1,1
PRT,1,1918,.,4,1,16592,O,.,.,.,1,1
PRT,1,1918,.,5,1,15494,O,.,.,.,1,1
PRT,1,1918,.,6,1,14207,O,.,.,.,1,1
PRT,1,1918,.,7,1,13912,O,.,.,.,1,1
PRT,1,1918,.,8,1,13529,O,.,.,.,1,1
PRT,1,1918,.,9,1,13779,O,.,.,.,1,1
PRT,1,1918,.,10,1,14737,O,.,.,.,1,1
PRT,1,1918,.,11,1,13509,O,.,.,.,1,1
PRT,1,1918,.,12,1,13480,O,.,.,.,1,1
PRT,1,1918,.,TOT,1,178687,O,.,.,.,1,1
PRT,1,1919,.,1,1,13494,O,.,.,.,1,1
PRT,1,1919,.,2,1,14307,O,.,.,.,1,1
PRT,1,1919,.,3,1,15957,O,.,.,.,1,1
PRT,1,1919,.,4,1,14418,O,.,.,.,1,1
PRT,1,1919,.,5,1,13109,O,.,.,.,1,1
PRT,1,1919,.,6,1,11583,O,.,.,.,1,1
PRT,1,1919,.,7,1,10763,O,.,.,.,1,1
PRT,1,1919,.,8,1,10784,O,.,.,.,1,1
PRT,1,1919,.,9,1,13375,O,.,.,.,1,1
PRT,1,1919,.,10,1,15452,O,.,.,.,1,1
PRT,1,1919,.,11,1,15869,O,.,.,.,1,1
PRT,1,1919,.,12,1,17051,O,.,.,.,1,1
